VCD info: dumpfile core.vcd opened for output.
WARNING: ../00_TESTBED/testbench.v:87: $readmemb(../00_TESTBED/PATTERN/opmode1.dat): Not enough words in the file for the requested range [0:1023].
WARNING: ../00_TESTBED/testbench.v:88: $readmemb(../00_TESTBED/PATTERN/golden1.dat): Not enough words in the file for the requested range [0:4095].
sum:    4182    3958    3540    4151    4182
at address           0, out:  2553 (00100111111001), golden:  2553 (00100111111001)
at address           1, out:  3268 (00110011000100), golden:  3268 (00110011000100)
at address           2, out:  3162 (00110001011010), golden:  3162 (00110001011010)
at address           3, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address           4, out:  3162 (00110001011010), golden:  3162 (00110001011010)
at address           5, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address           6, out:  2997 (00101110110101), golden:  2997 (00101110110101)
at address           7, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address           8, out:  2553 (00100111111001), golden:  2553 (00100111111001)
at address           9, out:  3268 (00110011000100), golden:  3268 (00110011000100)
at address          10, out:  3162 (00110001011010), golden:  3162 (00110001011010)
at address          11, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          12, out:  3162 (00110001011010), golden:  3162 (00110001011010)
at address          13, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          14, out:  2997 (00101110110101), golden:  2997 (00101110110101)
at address          15, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          16, out:  3162 (00110001011010), golden:  3162 (00110001011010)
at address          17, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          18, out:  2997 (00101110110101), golden:  2997 (00101110110101)
at address          19, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          20, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          21, out:  4114 (01000000010010), golden:  4114 (01000000010010)
at address          22, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          23, out:  4117 (01000000010101), golden:  4117 (01000000010101)
at address          24, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          25, out:  4114 (01000000010010), golden:  4114 (01000000010010)
at address          26, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          27, out:  4117 (01000000010101), golden:  4117 (01000000010101)
at address          28, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          29, out:  4114 (01000000010010), golden:  4114 (01000000010010)
at address          30, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          31, out:  4117 (01000000010101), golden:  4117 (01000000010101)
at address          32, out:  3268 (00110011000100), golden:  3268 (00110011000100)
at address          33, out:  3090 (00110000010010), golden:  3090 (00110000010010)
at address          34, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          35, out:  4114 (01000000010010), golden:  4114 (01000000010010)
at address          36, out:  4181 (01000001010101), golden:  4181 (01000001010101)
at address          37, out:  4114 (01000000010010), golden:  4114 (01000000010010)
at address          38, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          39, out:  4117 (01000000010101), golden:  4117 (01000000010101)
at address          40, out:  4086 (00111111110110), golden:  4086 (00111111110110)
at address          41, out:  4117 (01000000010101), golden:  4117 (01000000010101)
at address          42, out:  3998 (00111110011110), golden:  3998 (00111110011110)
at address          43, out:  3996 (00111110011100), golden:  3996 (00111110011100)
at address          44, out:  1940 (00011110010100), golden:  1940 (00011110010100)
at address          45, out:  1994 (00011111001010), golden:  1994 (00011111001010)
at address          46, out:  1993 (00011111001001), golden:  1993 (00011111001001)
at address          47, out:  1959 (00011110100111), golden:  1959 (00011110100111)
at address          48, out:   984 (00001111011000), golden:   984 (00001111011000)
at address          49, out:   978 (00001111010010), golden:   978 (00001111010010)
at address          50, out:  1028 (00010000000100), golden:  1028 (00010000000100)
at address          51, out:   975 (00001111001111), golden:   975 (00001111001111)
at address          52, out:   984 (00001111011000), golden:   984 (00001111011000)
at address          53, out:   978 (00001111010010), golden:   978 (00001111010010)
at address          54, out:  1028 (00010000000100), golden:  1028 (00010000000100)
at address          55, out:   975 (00001111001111), golden:   975 (00001111001111)
at address          56, out:   975 (00001111001111), golden:   975 (00001111001111)
at address          57, out:   941 (00001110101101), golden:   941 (00001110101101)
at address          58, out:   984 (00001111011000), golden:   984 (00001111011000)
at address          59, out:   978 (00001111010010), golden:   978 (00001111010010)
at address          60, out:   984 (00001111011000), golden:   984 (00001111011000)
at address          61, out:   978 (00001111010010), golden:   978 (00001111010010)
at address          62, out:  1028 (00010000000100), golden:  1028 (00010000000100)
at address          63, out:   975 (00001111001111), golden:   975 (00001111001111)
at address          64, out:  1940 (00011110010100), golden:  1940 (00011110010100)
at address          65, out:  1994 (00011111001010), golden:  1994 (00011111001010)
at address          66, out:  1993 (00011111001001), golden:  1993 (00011111001001)
at address          67, out:  1959 (00011110100111), golden:  1959 (00011110100111)
at address          68, out:  1993 (00011111001001), golden:  1993 (00011111001001)
at address          69, out:  1959 (00011110100111), golden:  1959 (00011110100111)
at address          70, out:  1923 (00011110000011), golden:  1923 (00011110000011)
at address          71, out:  1868 (00011101001100), golden:  1868 (00011101001100)
at address          72, out:  3998 (00111110011110), golden:  3998 (00111110011110)
at address          73, out:  3996 (00111110011100), golden:  3996 (00111110011100)
at address          74, out:  3881 (00111100101001), golden:  3881 (00111100101001)
at address          75, out:  3856 (00111100010000), golden:  3856 (00111100010000)
at address          76, out:  2898 (00101101010010), golden:  2898 (00101101010010)
at address          77, out:  3998 (00111110011110), golden:  3998 (00111110011110)
at address          78, out:  2837 (00101100010101), golden:  2837 (00101100010101)
at address          79, out:  3881 (00111100101001), golden:  3881 (00111100101001)
Error! Runtime exceeded!
